#,.,.,#,.,.,#,#,.,#,.,.,.,#,#,#,.,#,#,.,.,.,#,.,#,#,.,#,.,.,#,.,.,.,.,.,#,#,.,.,.,.,#,.,#,#,.,.,.,.,
#,#,#,.,#,.,#,#,.,#,.,.,.,.,.,#,.,.,.,.,#,.,.,#,.,#,#,.,#,.,#,#,#,#,.,#,.,#,.,#,#,.,.,#,.,#,#,#,#,#,
#,.,#,#,#,.,.,.,#,#,#,.,#,#,.,#,.,#,#,#,.,#,.,#,#,.,#,#,#,.,.,.,#,#,.,.,#,#,.,#,.,#,.,.,.,.,.,.,#,#,
#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,#,#,.,.,#,#,.,.,.,#,.,.,.,.,.,#,.,.,#,#,.,#,.,.,#,.,.,#,#,.,.,#,.,#,#,
#,.,.,#,#,#,#,#,.,.,.,.,#,.,.,.,#,#,#,.,#,.,.,.,#,#,.,#,#,#,#,#,.,#,.,.,#,.,.,#,#,.,#,#,#,#,#,.,.,#,
#,#,.,.,.,.,#,.,#,#,.,#,#,#,.,#,.,.,#,.,#,#,.,#,.,#,#,#,.,.,#,.,.,#,#,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,
.,#,#,#,.,.,#,#,#,#,.,.,#,#,.,.,#,.,#,.,#,#,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,.,#,#,#,#,#,.,#,#,.,#,#,
#,#,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,.,#,#,.,.,.,#,#,#,.,#,#,.,#,#,.,.,#,.,.,#,#,.,#,.,#,#,.,#,.,
.,.,.,#,#,#,.,.,#,#,.,#,#,.,.,#,.,#,#,#,.,#,.,#,#,#,#,.,#,.,#,#,.,#,#,#,.,#,.,.,.,.,.,#,.,.,.,.,#,.,
#,#,#,#,.,#,#,.,.,#,#,#,#,#,#,#,.,.,#,.,.,#,.,.,.,.,.,#,#,.,.,.,.,.,#,.,.,#,#,#,#,#,#,.,#,#,.,.,#,.,
#,.,.,.,.,.,#,#,#,.,.,#,.,.,.,.,.,.,#,.,.,#,#,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,.,.,#,.,#,#,.,#,#,#,.,#,
#,.,#,#,.,#,.,.,#,#,.,#,.,.,#,#,#,#,#,#,#,#,.,#,#,#,.,#,#,#,.,#,#,.,#,#,.,.,#,.,#,.,.,#,#,#,.,#,.,.,
#,.,#,#,.,.,#,.,.,.,#,#,#,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,#,.,#,#,#,#,#,.,#,.,#,.,.,.,#,#,#,.,
#,.,#,.,#,.,.,.,#,.,.,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,#,#,#,.,.,#,#,.,#,#,.,.,.,#,#,.,#,#,#,.,#,#,#,#,
.,.,#,#,.,#,#,#,#,#,#,#,#,#,#,#,#,.,#,.,#,#,#,#,#,.,.,.,.,#,.,#,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,#,.,#,
.,#,.,#,.,#,.,.,#,#,.,.,#,.,.,.,.,#,#,.,.,#,.,.,.,.,#,#,.,#,.,#,.,.,#,#,.,#,.,.,.,.,#,#,.,#,.,#,#,.,
.,.,#,#,.,#,.,.,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,#,#,#,#,#,#,.,#,.,#,#,#,.,#,.,#,#,.,#,.,
#,.,#,.,.,#,#,.,#,.,.,#,.,#,.,#,.,#,#,.,.,#,#,.,.,#,#,.,#,.,.,.,.,.,#,.,.,#,#,#,.,#,#,.,.,.,#,.,#,#,
.,.,#,.,#,.,#,#,.,#,.,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,#,#,#,#,#,.,.,#,.,#,.,.,#,#,.,#,.,#,.,#,.,#,.,
.,.,#,.,.,#,.,#,.,.,#,#,#,.,.,.,#,.,#,#,.,#,#,.,#,#,.,.,#,#,.,#,.,.,#,.,.,.,.,.,#,.,#,.,.,#,#,.,.,.,
#,.,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,#,#,#,.,#,#,.,.,#,.,.,.,.,.,#,#,.,.,#,#,.,.,.,#,.,.,#,.,#,#,#,#,.,
#,#,.,#,#,.,#,#,#,.,.,#,#,.,.,#,.,.,.,#,.,.,.,.,.,#,.,.,#,#,#,#,#,#,.,.,#,#,.,#,#,#,#,.,.,.,#,#,#,#,
.,#,.,.,.,.,.,#,.,#,.,#,.,#,.,.,#,#,.,#,.,#,#,.,#,#,#,#,#,.,.,#,.,#,#,.,#,#,.,#,#,.,#,.,.,.,.,#,.,.,
#,.,#,#,#,#,.,#,#,.,.,#,.,.,#,.,#,.,.,#,#,.,#,.,#,#,.,.,#,.,.,#,#,#,#,.,#,#,.,.,.,#,#,#,#,#,.,#,.,.,
#,#,.,.,.,.,#,.,#,.,#,#,#,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,#,#,.,.,#,#,.,.,.,.,#,.,#,#,.,.,#,#,#,#,.,
.,#,.,.,#,.,#,.,#,.,#,#,#,#,.,#,#,#,.,#,.,#,#,#,#,#,.,#,.,.,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,.,.,#,#,#,
#,#,#,#,#,.,#,.,.,.,.,#,#,#,.,.,#,#,.,.,.,.,.,.,#,#,.,.,#,#,.,.,.,#,#,#,.,#,.,#,.,#,#,.,.,#,.,#,#,.,
.,#,.,.,.,#,#,#,.,#,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,#,#,.,#,.,#,#,.,#,.,#,#,.,.,#,#,.,#,#,#,.,.,.,#,.,
.,#,.,#,.,#,.,#,.,#,.,.,#,#,.,#,#,.,#,#,#,#,#,.,.,#,.,.,#,#,.,#,.,#,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,
.,#,#,#,.,#,#,.,.,#,#,.,.,#,#,#,#,.,#,#,.,.,.,.,.,#,#,.,.,#,#,.,.,.,#,#,#,#,.,#,#,.,#,.,#,#,.,#,.,#,
.,.,.,#,#,.,#,.,.,.,#,#,#,.,.,#,.,.,.,.,.,#,#,.,.,.,#,#,#,.,#,.,.,.,.,.,#,#,.,#,#,.,#,.,#,#,.,.,#,#,
.,.,.,.,#,#,#,#,.,#,.,.,.,#,.,#,.,.,#,#,.,#,#,#,.,#,.,.,.,.,#,#,.,.,#,.,.,.,.,.,.,#,#,.,.,#,#,.,#,.,
#,.,#,.,.,.,#,#,.,.,#,#,.,.,#,#,#,#,#,#,.,.,#,#,.,.,#,#,#,.,#,#,#,#,#,#,#,#,.,#,.,#,#,#,.,#,.,.,#,#,
#,.,.,.,#,.,#,#,#,.,#,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,#,#,#,.,.,.,.,.,#,#,.,#,#,#,.,.,#,.,.,#,#,.,.,#,
.,#,#,#,#,.,.,#,.,.,#,#,#,#,#,#,.,.,#,#,.,#,#,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,#,#,.,
